Fund_Name,Month,Date,NAV,Monthly_Return,Monthly_Return_Percent
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,January,2016-01-29,73.9516,-0.047162809874761624,-4.716280987476162
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,February,2016-02-29,68.4406,-0.07452171420226195,-7.452171420226195
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,March,2016-03-31,75.9427,0.10961476082909849,10.961476082909849
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,April,2016-04-29,77.0026,0.013956575154689066,1.3956575154689066
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,May,2016-05-31,80.072,0.039860991706773596,3.9860991706773596
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,June,2016-06-30,81.4898,0.017706564092316857,1.7706564092316857
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,July,2016-07-29,84.9946,0.043009063711041184,4.300906371104118
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,August,2016-08-31,86.4116,0.01667164737524507,1.667164737524507
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,September,2016-09-30,84.5864,-0.021122164153886902,-2.11221641538869
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,October,2016-10-28,84.8011,0.002538233096573528,0.2538233096573528
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,November,2016-11-30,80.7598,-0.04765622144052384,-4.765622144052384
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,December,2016-12-30,80.2451,-0.006373220339822572,-0.6373220339822572
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,January,2017-01-31,83.8864,0.04537722552529688,4.537722552529688
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,February,2017-02-28,87.0164,0.037312365294016825,3.7312365294016825
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,March,2017-03-31,89.8447,0.03250306838710859,3.250306838710859
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,April,2017-04-28,91.0907,0.013868375096138141,1.3868375096138141
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,May,2017-05-31,94.1909,0.03403420985896477,3.403420985896477
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,June,2017-06-30,93.4411,-0.007960429298371596,-0.7960429298371596
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,July,2017-07-31,99.0899,0.060453055454184446,6.045305545418445
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,August,2017-08-31,97.5171,-0.015872455214910874,-1.5872455214910874
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,September,2017-09-29,96.2259,-0.013240754698406798,-1.3240754698406798
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,October,2017-10-31,101.5965,0.055812416407640786,5.581241640764079
Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,November,2017-11-30,100.5048,-0.010745448908180966,-1.0745448908180966
