Fund_Name,Month,Date,NAV,Monthly_Return,Monthly_Return_Percent
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-04,2019-04-30,240.01,-0.0008326048041298328,-0.08326048041298328
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-05,2019-05-31,243.72,0.015457689262947438,1.5457689262947438
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-06,2019-06-28,241.28,-0.010011488593467899,-1.0011488593467899
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-07,2019-07-31,229.54,-0.0486571618037136,-4.86571618037136
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-08,2019-08-30,226.0,-0.015422148645116263,-1.5422148645116263
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-09,2019-09-30,234.75,0.03871681415929196,3.8716814159291957
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-10,2019-10-31,242.11,0.031352502662406856,3.1352502662406856
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-11,2019-11-29,246.75,0.0191648424269959,1.9164842426995898
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2019-12,2019-12-31,247.81,0.004295845997973613,0.4295845997973613
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-01,2020-01-31,246.14,-0.006739033937290695,-0.6739033937290695
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-02,2020-02-28,231.91,-0.057812626960266456,-5.781262696026646
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-03,2020-03-31,175.98,-0.24117114397826744,-24.117114397826743
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-04,2020-04-30,200.77,0.14086828048641897,14.086828048641898
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-05,2020-05-29,196.75,-0.02002291178961002,-2.002291178961002
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-06,2020-06-30,210.55,0.07013977128335447,7.013977128335447
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-07,2020-07-31,224.93,0.06829731655188787,6.8297316551887866
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-08,2020-08-31,232.72,0.03463299693237887,3.463299693237887
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-09,2020-09-30,228.87,-0.016543485733929164,-1.6543485733929164
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-10,2020-10-30,235.83,0.030410276576222417,3.0410276576222417
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-11,2020-11-27,264.04,0.11962006530127645,11.962006530127645
